Mon Apr 17 2023 19:43:50 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Mon Apr 17 2023 19:43:50 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Mon Apr 17 2023 19:43:51 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Mon Apr 17 2023 19:43:51 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Mon Apr 17 2023 19:43:51 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Mon Apr 17 2023 19:43:51 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Mon Apr 17 2023 19:45:12 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Mon Apr 17 2023 19:45:12 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Mon Apr 17 2023 19:45:12 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Mon Apr 17 2023 19:45:12 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Mon Apr 17 2023 19:45:12 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Mon Apr 17 2023 19:45:13 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Mon Apr 17 2023 19:45:43 GMT-0300 (Horário Padrão de Brasília), GET, /api/recarga/, undefined 
Mon Apr 17 2023 19:46:27 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Mon Apr 17 2023 19:46:27 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Mon Apr 17 2023 19:46:27 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Mon Apr 17 2023 19:46:27 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Mon Apr 17 2023 19:46:27 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Mon Apr 17 2023 19:58:51 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Mon Apr 17 2023 19:58:51 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Mon Apr 17 2023 19:58:51 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Mon Apr 17 2023 19:58:51 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Mon Apr 17 2023 19:58:51 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Mon Apr 17 2023 19:58:52 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Mon Apr 17 2023 19:59:23 GMT-0300 (Horário Padrão de Brasília), GET, /api/locacao/1, undefined 
Mon Apr 17 2023 20:02:40 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Mon Apr 17 2023 20:02:40 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Mon Apr 17 2023 20:02:40 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Mon Apr 17 2023 20:02:40 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Mon Apr 17 2023 20:02:40 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Mon Apr 17 2023 20:02:41 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Mon Apr 17 2023 20:02:44 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Mon Apr 17 2023 20:02:44 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Mon Apr 17 2023 20:02:44 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Mon Apr 17 2023 20:02:44 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Mon Apr 17 2023 20:02:44 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Mon Apr 17 2023 20:02:44 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Mon Apr 17 2023 20:04:13 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Mon Apr 17 2023 20:04:13 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Mon Apr 17 2023 20:04:13 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Mon Apr 17 2023 20:04:13 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Mon Apr 17 2023 20:04:13 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Mon Apr 17 2023 20:04:13 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Mon Apr 17 2023 20:04:14 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Mon Apr 17 2023 20:04:14 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Mon Apr 17 2023 20:04:14 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Mon Apr 17 2023 20:04:14 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Mon Apr 17 2023 20:04:14 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Mon Apr 17 2023 20:04:15 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Mon Apr 17 2023 20:06:24 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Mon Apr 17 2023 20:06:24 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Mon Apr 17 2023 20:06:24 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Mon Apr 17 2023 20:06:24 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Mon Apr 17 2023 20:06:24 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Mon Apr 17 2023 20:06:25 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Sat Apr 22 2023 20:49:26 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Sat Apr 22 2023 20:49:26 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Sat Apr 22 2023 20:49:26 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
